id;bank_code;bank_name;is_active
1;Rubber Security;mindshare actuating copy;false
2;e-services Lari;Ergonomic Metal Shoes Cambridgeshire schemas;false
3;Sleek;purple Savings Account Garden;false
4;Ball;Security Auto Loan Account;false
5;Chair;program Soft Diverse;true
6;global deposit;Beauty Liechtenstein;true
7;RAM Checking Account;Unbranded Cotton Mouse Idaho Forks;true
8;object-oriented Florida;Pennsylvania Awesome Metal Sausages;false
9;Jewelery Unbranded;digital facilitate;true
10;Russian Ruble;Liaison;true
