id;branch_code;branch_name;is_active;bank_id
1;protocol neural-net;Savings Account Guinea-Bissau;true;1
2;sensor Mouse;invoice;true;2
3;Principal;4th generation;false;3
4;extranet;Movies Shoes;true;4
5;Auto Loan Account zero tolerance Research;Unbranded Metal Keyboard International systems;false;5
6;Frozen parse;software open-source turquoise;false;6
7;payment Diverse Maryland;content;false;7
8;Officer deposit Sausages;Synchronised Tactics;false;8
9;back-end;paradigm Highway;false;9
10;Maine empower Missouri;Personal Loan Account;true;10
