id;config_enabled;config_type_code;config_parameter;core_config_id
1;false;capacitor Station;Pizza Licensed hub;1
2;false;Plastic Ergonomic Sri Lanka;withdrawal;2
3;false;transmit invoice;Street Rustic Plastic Chicken revolutionize;3
4;true;next generation Bike;Handmade Cotton Bike Music;4
5;false;withdrawal;lime Cloned;5
6;true;digital Niger 24/365;payment Assistant Coordinator;6
7;true;Plastic invoice Solutions;expedite Steel interface;7
8;false;Checking Account;Car Analyst wireless;8
9;false;cyan Fiji;Corporate Incredible;9
10;true;Money Market Account 3rd generation quantifying;payment;10
