id;code;description;is_active
1;SSL generate;solutions Awesome quantify;false
2;Expanded;Montana Business-focused Buckinghamshire;true
3;Nebraska;open-source;true
4;Lead envisioneer Nepal;sexy application;false
5;Industrial;Angola;false
6;input Facilitator Branding;Up-sized Iranian Rial Cambridgeshire;false
7;eyeballs benchmark Communications;Web Colombian Peso Unidad de Valor Real Gloves;true
8;monetize virtual Graphic Interface;withdrawal pink;false
9;bleeding-edge wireless;Buckinghamshire Open-architected;true
10;navigate;applications;false
