id;menu_name;menu_url;is_favorite;is_active
1;HTTP Arizona;Intelligent Pass bypassing;false;false
2;Fields Home Loan Account;Refined Metal Chair Cambridgeshire Interactions;true;false
3;Human bricks-and-clicks;Home Loan Account Berkshire withdrawal;false;true
4;extensible back up;Assistant Norwegian Krone Radial;true;true
5;Music payment COM;Industrial haptic;true;false
6;Pizza Djibouti Franc program;port Grocery;true;true
7;fuchsia Soap ADP;Legacy Minnesota Locks;false;true
8;Ball;Agent;false;true
9;wireless alarm Kansas;ability Stravenue;true;false
10;Multi-lateral Automotive Program;CSS;true;true
